Zip Code,Population,Poulation Below Poverty Line,Population Below Poverty Line past 12 months,Poverty Percentage
02543,909.0,269.0,12.0,0.29592959295929594
02563,9501.0,2718.0,84.0,0.2860751499842122
02635,3301.0,999.0,71.0,0.302635564980309
02644,4393.0,1190.0,54.0,0.2708854996585477
02653,5905.0,1626.0,80.0,0.2753598645215919
02664,9226.0,2406.0,78.0,0.2607847387817039
02668,2807.0,802.0,0.0,0.2857142857142857
02669,158.0,24.0,0.0,0.1518987341772152
02713,25.0,9.0,1.0,0.36
02715,3703.0,1039.0,48.0,0.2805833108290575
02717,4703.0,1272.0,48.0,0.27046566021688284
02111,7452.0,1367.0,176.0,0.18344068706387548
02382,14864.0,3746.0,158.0,0.2520182992465016
01886,24087.0,6704.0,129.0,0.2783244073566654
01002,30280.0,4987.0,450.0,0.16469616908850726
01011,1507.0,423.0,15.0,0.28069011280690115
01080,2532.0,589.0,191.0,0.23262243285939968
01109,30125.0,6293.0,1682.0,0.20889626556016597
01151,8884.0,2057.0,389.0,0.2315398469158037
01222,818.0,231.0,8.0,0.2823960880195599
01225,3169.0,912.0,18.0,0.28778794572420324
01337,2626.0,746.0,52.0,0.2840822543792841
01341,1743.0,485.0,4.0,0.2782558806655192
01346,464.0,122.0,5.0,0.2629310344827586
01351,2209.0,621.0,35.0,0.2811226799456768
01366,1218.0,316.0,14.0,0.2594417077175698
01373,4160.0,1138.0,72.0,0.27355769230769234
01376,5096.0,1135.0,183.0,0.222723704866562
01378,744.0,217.0,7.0,0.2916666666666667
01772,9520.0,2496.0,67.0,0.26218487394957984
01854,29561.0,5508.0,1046.0,0.18632657893846621
01515,2123.0,548.0,6.0,0.2581252943947244
01562,11856.0,3139.0,245.0,0.2647604588394062
01564,8000.0,2135.0,82.0,0.266875
01568,7706.0,2196.0,72.0,0.28497274850765636
01571,11637.0,2817.0,167.0,0.24207269914926527
01590,9297.0,2594.0,49.0,0.27901473593632353
01605,28742.0,6157.0,1466.0,0.21421612970565723
01606,19375.0,4697.0,320.0,0.2424258064516129
01719,5546.0,1492.0,72.0,0.26902271907681213
01008,1272.0,401.0,26.0,0.31525157232704404
01012,531.0,144.0,11.0,0.2711864406779661
01013,23026.0,5637.0,952.0,0.2448102145400851
01029,728.0,180.0,23.0,0.24725274725274726
01031,1151.0,296.0,23.0,0.2571676802780191
01032,551.0,177.0,0.0,0.32123411978221417
01056,21331.0,5731.0,230.0,0.2686700107824293
01060,15729.0,2712.0,151.0,0.17242037001716576
01069,8919.0,2152.0,89.0,0.2412826550061666
01070,637.0,178.0,12.0,0.2794348508634223
01077,9711.0,2736.0,195.0,0.28174235403151066
01083,3182.0,838.0,27.0,0.2633563796354494
01095,14659.0,3959.0,77.0,0.27007299270072993
01098,1186.0,304.0,10.0,0.2563237774030354
01129,6750.0,1866.0,150.0,0.27644444444444444
01237,2662.0,688.0,12.0,0.25845229151014276
01244,108.0,33.0,0.0,0.3055555555555556
01247,15703.0,3966.0,465.0,0.2525632044832198
01253,742.0,250.0,6.0,0.33692722371967654
01266,1360.0,361.0,26.0,0.26544117647058824
01330,1468.0,399.0,19.0,0.2717983651226158
01331,13281.0,3398.0,240.0,0.25585422784428885
01340,1642.0,437.0,30.0,0.2661388550548112
01350,86.0,21.0,0.0,0.2441860465116279
01438,563.0,221.0,0.0,0.3925399644760213
01902,48218.0,10616.0,2051.0,0.2201667427101912
01913,17218.0,4485.0,111.0,0.2604832152398653
01922,2812.0,726.0,30.0,0.2581792318634424
01930,29858.0,8038.0,442.0,0.26920758255743854
01701,32098.0,9056.0,262.0,0.2821359586267057
01602,24166.0,5650.0,473.0,0.23379955309111974
01611,2451.0,587.0,0.0,0.2394940840473276
02176,28132.0,7246.0,199.0,0.2575714488838334
02322,4468.0,1103.0,58.0,0.24686660698299015
02338,7739.0,2082.0,112.0,0.26902700607313607
02356,12885.0,3458.0,144.0,0.2683740783857198
02367,2912.0,818.0,29.0,0.2809065934065934
02379,7117.0,1756.0,42.0,0.24673317409020654
02452,15470.0,2947.0,183.0,0.19049773755656108
02535,1757.0,280.0,25.0,0.1593625498007968
02542,881.0,240.0,21.0,0.2724177071509648
02601,15063.0,3311.0,343.0,0.21981013078404035
